TABLE_NAME,COLUMN_NAME,DATA_TYPE,DATA_PRECISION,DATA_SCALE,HCAT_TYPE
CVTRAN,USER48,VARCHAR2,NA,NA,string
CVTRAN,USER49,VARCHAR2,NA,NA,string
CVTRAN,USER50,VARCHAR2,NA,NA,string
CVTRAN,USER51,VARCHAR2,NA,NA,string
CVTRAN,USER52,VARCHAR2,NA,NA,string
CVTRAN,USER53,VARCHAR2,NA,NA,string
CVTRAN,USER54,VARCHAR2,NA,NA,string
CVTRAN,USER55,VARCHAR2,NA,NA,string
CVTRAN,USER56,VARCHAR2,NA,NA,string
CVTRAN,USER57,VARCHAR2,NA,NA,string
CVTRAN,USER58,VARCHAR2,NA,NA,string
CVTRAN,USER59,VARCHAR2,NA,NA,string
CVTRAN,USER60,VARCHAR2,NA,NA,string
CVTRAN,FEETYPE,VARCHAR2,NA,NA,string
CVTRAN,TITLECO,VARCHAR2,NA,NA,string
CVTRAN,STAMPVAL,NUMBER,NA,NA,bigint
CVTRAN,OLDOWN2,VARCHAR2,NA,NA,string
CVTRAN,OWN2,VARCHAR2,NA,NA,string
CVTRAN,USER61,VARCHAR2,NA,NA,string
